question,reference_answer,generated_answer,retrieved_contexts,context_scores,bertscore_precision,bertscore_recall,bertscore_f1
"What are the three main steps for fine-tuning a model with the 🤗 Datasets library?
",1. Load a dataset from the Hugging Face Hub. 2. Preprocess the data with `Dataset.map()`. 3. Load and compute metrics.,"The three main steps for fine-tuning a model with the 🤗 Datasets library are as follows:
1. Load a dataset from the Hugging Face Hub.
2. Preprocess the data with `Dataset.map()`.
3. Load and compute metrics.

These steps were outlined in Chapter 3 of the course material provided in the context.","['Introduction[[introduction]]\n\n<CourseFloatingBanner\n    chapter={5}\n    classNames=""absolute z-10 right-0 top-0""\n/>\n\nIn [Chapter 3](/course/chapter3) you got your first taste of the 🤗 Datasets library and saw that there were three main steps when it came to fine-tuning a model:\n\n1. Load a dataset from the Hugging Face Hub.\n2. Preprocess the data with `Dataset.map()`.\n3. Load and compute metrics.\n\nBut this is just scratching the surface of what 🤗 Datasets can do! In this chapter, we will take a deep dive into the library. Along the way, we\'ll find answers to the following questions:', '```\n\n## Prepare Datasets\n\nOne picture which is from the huggingface datasets [sd-concepts-library/dicoo2](https://huggingface.co/sd-concepts-library/dicoo2) is needed, and save it to the `./dicoo` directory. The picture is shown below:\n\n<a href=""https://huggingface.co/sd-concepts-library/dicoo2/blob/main/concept_images/1.jpeg"">\n    <img src=""https://huggingface.co/sd-concepts-library/dicoo2/resolve/main/concept_images/1.jpeg"" width = ""300"" height=""300"">\n</a>\n\n## Get a FP32 Textual Inversion model\n\nUse the following command to fine-tune the Stable Diffusion model on the above dataset to obtain the FP32 Textual Inversion model.\n\n```bash\nexport MODEL_NAME=""CompVis/stable-diffusion-v1-4""\nexport DATA_DIR=""./dicoo""', '| [How to fine-tune a model for summarization with ONNX Runtime](https://github.com/huggingface/notebooks/blob/main/examples/summarization_ort.ipynb)                         | Show how to fine-tune a T5 model on the BBC news corpus.                                                                                       | [![Open in Colab](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/github/huggingface/notebooks/blob/main/examples/summarization_ort.ipynb)                |                [![Open in AWS Studio](https://studiolab.sagemaker.aws/studiolab.svg)](https://studiolab.sagemaker.aws/import/github/huggingface/notebooks/blob/main/examples/summarization_ort.ipynb) |', '<div class=""grid grid-cols-2 gap-4"">\n  <figure class=""image table text-center m-0 w-full"">\n  </figure>\n\n  <figure class=""image table text-center m-0 w-full"">\n    <medium-zoom background=""rgba(0,0,0,.7)"" alt=""A form showing configurations to select for the imported dataset, including split types and data columns."" src=""https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/blog/autotrain-image-classification/add-dataset.png""></medium-zoom>\n  </figure>\n</div>\n\nOnce the data has been added, simply choose the number of model candidates that you’d like AutoModel to try out, review the expected training cost (training with 5 candidate models and less than 500 images is free 🤩), and start training!', '| [How to fine-tune DeBERTa for question-answering with ONNX Runtime](https://github.com/huggingface/notebooks/blob/main/examples/question_answering_ort.ipynb)                         | Show how to fine-tune a DeBERTa model on the squad.                                                                                       | [![Open in Colab](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/github/huggingface/notebooks/blob/main/examples/question_answering_ort.ipynb)                |                [![Open in AWS Studio](https://studiolab.sagemaker.aws/studiolab.svg)](https://studiolab.sagemaker.aws/import/github/huggingface/notebooks/blob/main/examples/question_answering_ort.ipynb) |']","[8.358916282653809, -1.3373134136199951, -4.362672805786133, -4.990054607391357, -5.780527114868164]",0.881207287311554,0.9683210849761963,0.9227126240730286
"What is the maximum improvement in throughput achieved by Hugging Face Infinity compared to vanilla transformers?
",+800%,The maximum improvement in throughput achieved by Hugging Face Infinity compared to vanilla transformers is up to 800%.,"['Hugging Face Infinity can deliver up to 800% higher throughput compared to vanilla transformers, and down to 1-4ms latency for sequence lengths up to 64 tokens.\n\nThe flexibility to optimize transformer models for throughput, latency, or both enables businesses to either reduce the amount of infrastructure cost for the same workload or to enable real-time use cases that were not possible before. \n\nIf you are interested in trying out Hugging Face Infinity sign up for your trial at [hf.co/infinity-trial](https://hf.co/infinity-trial) \n\n\n## Resources', '---\n\n## Conclusion\n\nIn this post, we showed how Hugging Face Infinity performs on the new Intel Ice Lake Xeon CPU. We created a detailed benchmark with over 190 different configurations sharing the results you can expect when using Hugging Face Infinity on CPU, what would be the best configuration to optimize your Infinity Container for latency, and what would be the best configuration to maximize throughput.\n\nHugging Face Infinity can deliver up to 800% higher throughput compared to vanilla transformers, and down to 1-4ms latency for sequence lengths up to 64 tokens.', 'These two metrics will be used to benchmark Hugging Face Infinity across different setups to understand the benefits and tradeoffs in this blog post.\n\n---\n\n## Results\n\nTo run the benchmark, we created an infinity container for the [EC2 C6i instance](https://aws.amazon.com/ec2/instance-types/c6i) (Ice-lake) and optimized a [DistilBERT](https://huggingface.co/docs/transformers/model_doc/distilbert) model for sequence classification using Infinity Multiverse. \n\nThis ice-lake optimized Infinity Container can achieve up to 34% better latency & throughput compared to existing cascade-lake-based instances, and up to 800% better latency & throughput compared to vanilla transformers running on ice-lake.', 'With [Hugging Face Infinity](https://huggingface.co/infinity), we offer a containerized solution that makes it easy to deploy low-latency, high-throughput, hardware-accelerated inference pipelines for the most popular Transformer models. Companies can get both the accuracy of Transformers and the efficiency necessary for large volume deployments, all in a simple to use package. In this blog post, we want to share detailed performance results for Infinity running on the latest generation of Intel Xeon CPU, to achieve optimal cost, efficiency, and latency for your Transformer deployments.\n\n\n## What is Hugging Face Infinity', 'In recent months, Intel and Hugging Face collaborated on scaling Transformer workloads. We published detailed tuning guides and benchmarks on inference ([part 1](https://huggingface.co/blog/bert-cpu-scaling-part-1), [part 2](https://huggingface.co/blog/bert-cpu-scaling-part-2)) and achieved [single-digit millisecond latency](https://huggingface.co/blog/infinity-cpu-performance) for DistilBERT on the latest Intel Xeon Ice Lake CPUs. On the training side, we added support for [Habana Gaudi](https://huggingface.co/blog/getting-started-habana) accelerators, which deliver up to 40% better price-performance than GPUs.']","[6.4006195068359375, 6.135651588439941, 5.209621906280518, 0.849901556968689, -1.0956666469573975]",0.8044542670249939,0.8772130608558655,0.839259684085846
"What is the command to upload a spaCy pipeline to the Hugging Face Hub?
",python -m spacy huggingface-hub push en_ner_fashion-0.0.0-py3-none-any.whl,"The command to upload a spaCy pipeline to the Hugging Face Hub is as follows:

```bash
python -m spacy huggingface-hub push en_ner_fashion-0.0.0-py3-none-any.whl
```

This command is part of the process described in the context for sharing spaCy models via the `spacy-huggingface-hub` library on the Hugging Face Hub.","['```\n\nAnd for larger-scale use cases, you can click ""Deploy > Accelerated Inference"" and see how to do this with Python.\n\n\n### Sharing your models\n\nBut probably the coolest feature is that now you can very easily share your models with the `spacy-huggingface-hub` [library](https://github.com/explosion/spacy-huggingface-hub), which extends the `spaCy` CLI with a new command, `huggingface-hub push`. \n\n```bash\nhuggingface-cli login\npython -m spacy package ./en_ner_fashion ./output --build wheel\ncd ./output/en_ner_fashion-0.0.0/dist\npython -m spacy huggingface-hub push en_ner_fashion-0.0.0-py3-none-any.whl', ""Hugging Face makes it really easy to share your spaCy pipelines with the community! With a single command, you can upload any pipeline package, with a pretty model card and all required metadata auto-generated for you. The inference API currently supports NER out-of-the-box, and you can try out your pipeline interactively in your browser. You'll also get a live URL for your package that you can `pip install` from anywhere for a smooth path from prototype all the way to production!\n\n### Finding models"", '### Using existing models\n\nAll models from the Hub can be directly installed using `pip install`. \n\n\n```bash\npip install https://huggingface.co/spacy/en_core_web_sm/resolve/main/en_core_web_sm-any-py3-none-any.whl', '--\ntitle: ""Welcome spaCy to the Hugging Face Hub""\nthumbnail: /blog/assets/23_spacy/thumbnail.png\n\nauthors:\n- user: osanseviero\n- user: ines\n---\n\n# Welcome spaCy to the Hugging Face Hub\n\n\n[spaCy](https://github.com/explosion/spaCy) is a popular library for advanced Natural Language Processing used widely across industry. spaCy makes it easy to use and train pipelines for tasks like named entity recognition, text classification, part of speech tagging and more, and lets you build powerful applications to process and analyze large volumes of text.', '```yaml\nname: Sync to Hugging Face hub\non:\n  push:\n    branches: [main]\n\n  # to run this workflow manually from the Actions tab\n  workflow_dispatch:\n\njobs:\n  sync-to-hub:\n    runs-on: ubuntu-latest\n    steps:\n      - uses: actions/checkout@v3\n        with:\n          fetch-depth: 0\n          lfs: true\n      - name: Push to hub\n        env:\n          HF_TOKEN: ${{ secrets.HF_TOKEN }}\n        run: git push https://HF_USERNAME:$HF_TOKEN@huggingface.co/spaces/HF_USERNAME/SPACE_NAME main']","[2.8803045749664307, 2.0470573902130127, 1.1296229362487793, -0.30074214935302734, -1.3362653255462646]",0.8512731194496155,0.9467048645019531,0.8964563608169556
"What is the time and memory complexity of the Nyströmformer's approximation of self-attention?
",O(n),"The time and memory complexity of Nyströmformer's approximation of self-attention is linear. This is because Nyströmformer approximates the standard self-attention with \\(O(n)\\) complexity, as mentioned in the provided context.","['The [Nyströmformer](https://arxiv.org/abs/2102.03902) is one of many efficient Transformer models that approximates standard self-attention with \\\\(O(n)\\\\) complexity. Nyströmformer exhibits competitive performance on various downstream NLP and CV tasks while improving upon the efficiency of standard self-attention. The aim of this blog post is to give readers an overview of the Nyström method and how it can be adapted to approximate self-attention.\n\n\n## Nyström method for matrix approximation', '</div>\n\n## Conclusion\n\nNyströmformer offers an efficient approximation to the standard self-attention mechanism, while outperforming other linear self-attention schemes. In this blog post, we went over a high-level overview of the Nyström method and how it can be leveraged for self-attention. Readers interested in deploying or fine-tuning Nyströmformer for downstream tasks can find the HuggingFace documentation [here](https://huggingface.co/docs/transformers/model_doc/nystromformer).', '## Can we approximate self-attention with the Nyström method?\n\nOur goal is to ultimately approximate the softmax matrix in standard self attention: S = softmax \\\\( \\frac{QK^T}{\\sqrt{d}} \\\\)\n\nHere, \\\\(Q\\\\) and \\\\(K\\\\) denote the queries and keys respectively. Following the procedure discussed above, we would sample \\\\(m\\\\) rows and columns from \\\\(S\\\\), form four submatrices, and obtain \\\\(\\hat{S}\\\\):\n\n<figure class=""image table text-center m-0 w-full"">\n  <medium-zoom background=""rgba(0,0,0,.7)"" alt=""Nyström approximation of S"" src=""assets/86_nystromformer/s_hat.png""></medium-zoom>\n  <figcaption>Nyström approximation of S</figcaption>\n</figure>', '--\ntitle: ""Nyströmformer: Approximating self-attention in linear time and memory via the Nyström method""\nthumbnail: /blog/assets/86_nystromformer/thumbnail.png\nauthors:\n- user: asi\n  guest: true\n---\n\n# Nyströmformer: Approximating self-attention in linear time and memory via the Nyström method\n\n\n<script async defer src=""https://unpkg.com/medium-zoom-element@0/dist/medium-zoom-element.min.js""></script>\n\n## Introduction', 'The overall algorithm is summarised by the following figure from the paper:\n\n<figure class=""image table text-center m-0 w-full"">\n  <medium-zoom background=""rgba(0,0,0,.7)"" alt=""Efficient self-attention with the Nyström method"" src=""assets/86_nystromformer/paper_figure.png""></medium-zoom>\n  <figcaption>Efficient self-attention with the Nyström method</figcaption>\n</figure>\n\nThe three orange matrices above correspond to the three matrices we constructed using the key and query landmarks. Also, notice that there is a DConv box. This corresponds to a skip connection added to the values using a 1D depthwise convolution.\n\n\n## How is Nyströmformer implemented?']","[2.725971221923828, 0.15460354089736938, -0.09656041860580444, -0.6728003025054932, -1.974501132965088]",0.7825191617012024,0.8861281871795654,0.8311070799827576
"What is the goal of the Named Entity Recognition task in token classification?
","The goal of the Named Entity Recognition task is to find the entities in a piece of text, such as person, location, or organization.","The goal of the Named Entity Recognition task in token classification is to find the entities in a piece of text, such as person, location, or organization. This task is formulated as labeling each token with one class for each entity, and another class for tokens that have no entity.","['Welcome to the Hugging Face tasks series! In this video we’ll take a look at the token classification task.\nToken classification is the task of assigning a label to each token in a sentence. There are various token classification tasks and the most common are Named Entity Recognition and Part-of-Speech Tagging.\nLet’s take a quick look at the Named Entity Recognition task. The goal of this task is to find the entities in a piece of text, such as person, location, or organization. This task is formulated as labelling each token with one class for each entity, and another class for tokens that have no entity.', 'Another token classification task is part-of-speech tagging. The goal of this task is to label the words for a particular part of a speech, such as noun, pronoun, adjective, verb and so on. This task is formulated as labelling each token with parts of speech.\nToken classification models are evaluated on Accuracy, Recall, Precision and F1-Score. The metrics are calculated for each of the classes. We calculate true positive, true negative and false positives to calculate precision and recall, and take their harmonic mean to get F1-Score. Then we calculate it for every class and take the overall average to evaluate our model.\nAn example dataset used for this task is ConLL2003. Here, each token belongs to a certain named entity class, denoted as the indices of the list containing the labels.', '### Token classification\n\nTo use BERT for token classification tasks like named entity recognition (NER), add a token classification head on top of the base BERT model. The token classification head is a linear layer that accepts the final hidden states and performs a linear transformation to convert them into logits. The cross-entropy loss is calculated between the logits and each token to find the most likely label.\n\nReady to try your hand at token classification? Check out our complete [token classification guide](tasks/token_classification) to learn how to finetune DistilBERT and use it for inference!\n\n### Question answering', 'An example dataset used for this task is ConLL2003. Here, each token belongs to a certain named entity class, denoted as the indices of the list containing the labels.\nYou can extract important information from invoices using named entity recognition models, such as date, organization name or address.\nFor more information about the Token classification task, check out the Hugging Face course.', ""ote: the following transcripts are associated with Merve Noyan's videos in the Hugging Face Tasks playlist: https://www.youtube.com/playlist?list=PLo2EIpI_JMQtyEr-sLJSy5_SnLCb4vtQf\n\nToken Classification video""]","[8.799345016479492, 4.593922138214111, 2.4031221866607666, 1.6643130779266357, -5.01120662689209]",0.9152060151100159,0.984557569026947,0.9486159682273865
"What is the resolution of images used by the CLIPSeg model?
",352 x 352 pixels,"The resolution of images used by the CLIPSeg model is 352 x 352 pixels, as mentioned in the context: ""For example, the model uses images of 352 x 352 pixels, so the output is quite low-resolution.""","['Currently, CLIPSeg still has its limitations. For example, the model uses images of 352 x 352 pixels, so the output is quite low-resolution. This means we cannot expect pixel-perfect results when we work with images from modern cameras. If we want more precise segmentations, we can fine-tune a state-of-the-art segmentation model, as shown in [our previous blog post](https://huggingface.co/blog/fine-tune-segformer). In that case, we can still use CLIPSeg to generate some rough labels, and then refine them in a labeling tool such as [Segments.ai](https://segments.ai/?utm_source=hf&utm_medium=blog&utm_campaign=clipseg). Before we describe how to do that, let’s first take a look at how CLIPSeg works.\n\n## CLIP: the magic model behind CLIPSeg', '## Conclusion\n\nCLIPSeg is a zero-shot segmentation model that works with both text and image prompts. The model adds a decoder to CLIP and can segment almost anything. However, the output segmentation masks are still very low-res for now, so you’ll probably still want to fine-tune a different segmentation model if accuracy is important.', '<figure class=""image table text-center m-0 w-full"">\n  <medium-zoom background=""rgba(0,0,0,.7)"" alt=""Overview of the CLIPSeg model"" src=""https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/blog/123_clipseg-zero-shot/clipseg-overview.png""></medium-zoom>\n  <figcaption><a href=""https://arxiv.org/abs/2112.10003"">Source</a></figcaption>\n</figure>', '<figure class=""image table text-center m-0 w-full"">\n  <medium-zoom background=""rgba(0,0,0,.7)"" alt=""Overview of the CLIPSeg model"" src=""https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/blog/123_clipseg-zero-shot/clip-tv-example.png""></medium-zoom>\n  <figcaption>Example of image classification using CLIP (<a href=""https://openai.com/blog/clip/"">source</a>).</figcaption>\n</figure>', '--\ntitle: Zero-shot image segmentation with CLIPSeg\nthumbnail: /blog/assets/123_clipseg-zero-shot/thumb.png\nauthors:\n- user: segments-tobias\n  guest: true\n- user: nielsr\n---\n\n# Zero-shot image segmentation with CLIPSeg\n\n\n<script async defer src=""https://unpkg.com/medium-zoom-element@0/dist/medium-zoom-element.min.js""></script>\n\n<a target=""_blank"" href=""https://colab.research.google.com/github/huggingface/blog/blob/main/notebooks/123_clipseg-zero-shot.ipynb"">\n    <img src=""https://colab.research.google.com/assets/colab-badge.svg"" alt=""Open In Colab""/>\n</a>']","[5.635388374328613, 0.6760971546173096, 0.6169716715812683, 0.5840951800346375, -2.929421901702881]",0.8176261186599731,0.8761526346206665,0.8458782434463501
"What can you use Gradio for?
","Create a demo for your machine learning model, share your machine learning model with others, and debug your model.","Gradio can be used for demoing machine learning models as a web app. It wraps Python functions, including machine learning models' inference functions, into a user interface. The demos can be launched inside Jupyter notebooks, Colab notebooks, and embedded in websites.","['<img alt=""Screen Shot 2022-08-01 at 5 54 59 PM"" src=""https://user-images.githubusercontent.com/81195143/182252755-4a0e1ca8-fd25-40ff-8c91-c9da38aaa9ec.png"">\n\n## What are Hugging Face Spaces & Gradio?\n\n### Gradio\n\nGradio lets users demo their machine learning models as a web app, all in a few lines of Python. Gradio wraps any Python function (such as a machine learning model\'s inference function) into a user interface and the demos can be launched inside jupyter notebooks, colab notebooks, as well as embedded in your own website and hosted on Hugging Face Spaces for free.\n\nGet started [here](https://gradio.app/getting_started)\n\n### Hugging Face Spaces', '### 3. Where can you launch a Gradio demo from?\n\n<Question\n\tchoices={[\n        {\n\t\t\ttext: ""Standard python IDEs"",\n\t\t\texplain: ""Gradio works great with your favorite IDE."",\n            correct: true\n        },\n        {\n\t\t\ttext: ""Google Colab notebooks"",\n\t\t\texplain: ""You can create and launch a demo within your Google colab notebook."",\n\t\t\tcorrect: true\n        },\n        {\n\t\t\ttext: ""Jupyter notebooks"",\n\t\t\texplain: ""Good choice - You can create and launch a demo within your Jupyter notebook."",\n\t\t\tcorrect: true\n        }\n\t]}\n/>\n\n### 4. Gradio is designed primarily for NLP models', '### 2. Gradio ONLY works with PyTorch models\n\n<Question\n\tchoices={[\n        {\n\t\t\ttext: ""True"",\n\t\t\texplain: ""Gradio works with PyTorch models, but also works for any type of machine learning model!""\n        },\n        {\n\t\t\ttext: ""False"",\n\t\t\texplain: ""Gradio is model agnostic, meaning you can create a demo for any type of machine learning model."",\n\t\t\tcorrect: true\n        }\n\t]}\n/>\n\n### 3. Where can you launch a Gradio demo from?', '### 4. Gradio is designed primarily for NLP models\n\n<Question\n\tchoices={[\n        {\n\t\t\ttext: ""True"",\n\t\t\texplain: ""Gradio works with pretty much any data type, not just NLP.""\n        },\n        {\n\t\t\ttext: ""False"",\n\t\t\texplain: ""Gradio supplies developers with a library of pre-built components for pretty much all data types."",\n            correct: true\n        }\n\t]}\n/>\n\n### 5. Which of the following features are supported by Gradio?', ""- The documented Gradio API (that's the bit that users interact with via python) should be tested thoroughly. (1)\n- Additional gradio elements that are both publicly available and used internally (such as the Python and JS client libraries) should be tested thoroughly. (1)\n- Additional gradio elements that are publicly available should be tested as thoroughly as is reasonable (this could be things like demos/the gradio CLI/ other tooling). The importance of each individual component, and the appropriate investment of effort, needs to be assessed on a case-by-case basis. (1)\n- Element boundaries should be tested where there is reasonable cause to do so (e.g. config generation) (1)\n- Implementation details should only be tested where there is sufficient complexity to warrant it. (1)""]","[2.0726726055145264, 1.0046883821487427, -0.2995167076587677, -0.5403167009353638, -1.3391644954681396]",0.8533488512039185,0.9011619091033936,0.876603901386261
"What TensorFlow API function is used to load a saved tensor file?
",safetensors.tensorflow.load_file,The TensorFlow API function used to load a saved tensor file is `safetensors.tensorflow.load_file`.,"['Tensorflow API\n\n[[autodoc]] safetensors.tensorflow.load_file\n[[autodoc]] safetensors.tensorflow.load\n[[autodoc]] safetensors.tensorflow.save_file\n[[autodoc]] safetensors.tensorflow.save', '```\n\nCombined with other approaches (gradient accumulation, gradient checkpointing, and mixed precision training), \nyou can expect to get about a 3x memory improvement and even slightly higher throughput as using Adafactor. \n\n### multi_tensor\n\npytorch-nightly introduced `torch.optim._multi_tensor` which should significantly speed up the optimizers for situations \nwith lots of small feature tensors. It should eventually become the default, but if you want to experiment with it sooner, take a look at this GitHub [issue](https://github.com/huggingface/transformers/issues/9965).\n\n## Data preloading', ""```\n\n<Tip>\n\ntf32 can't be accessed directly via `tensor.to(dtype=torch.tf32)` because it is an internal CUDA data type. You need `torch>=1.7` to use tf32 data types.\n\n</Tip>\n\nFor additional information on tf32 vs other precisions, please refer to the following benchmarks: \n[RTX-3090](https://github.com/huggingface/transformers/issues/14608#issuecomment-1004390803) and\n[A100](https://github.com/huggingface/transformers/issues/15026#issuecomment-1004543189).\n\n## Flash Attention 2\n\nYou can speedup the training throughput by using Flash Attention 2 integration in transformers. Check out the appropriate section in the [single GPU section](./perf_infer_gpu_one#Flash-Attention-2) to learn more about how to load a model with Flash Attention 2 modules. \n\n## Optimizer choice"", ""- Byte-level BPE, as used in GPT-2\n- WordPiece, as used in BERT\n- SentencePiece or Unigram, as used in several multilingual models\n\nYou should now have sufficient knowledge of how tokenizers work to get started with the API.\n\n## Loading and saving[[loading-and-saving]]\n\nLoading and saving tokenizers is as simple as it is with models. Actually, it's based on the same two methods: `from_pretrained()` and `save_pretrained()`. These methods will load or save the algorithm used by the tokenizer (a bit like the *architecture* of the model) as well as its vocabulary (a bit like the *weights* of the model).\n\nLoading the BERT tokenizer trained with the same checkpoint as BERT is done the same way as loading the model, except we use the `BertTokenizer` class:"", ""transforms those logits into labels and scores. Let's look in detail at those three steps, and how to replicate them using the Transformers library, beginning with the first stage, tokenization. The tokenization process has several steps. First, the text is split into small chunks called tokens. They can be words, parts of words or punctuation symbols. Then the tokenizer will had some special tokens (if the model expect them). Here the model uses expects a CLS token at the beginning and a SEP token at the end of the sentence to classify. Lastly, the tokenizer matches each token to its unique ID in the vocabulary of the pretrained model. To load such a tokenizer, the Transformers library provides the AutoTokenizer API. The most important method of this class is from_pretrained, which will""]","[1.7084121704101562, -4.653308868408203, -4.716238498687744, -5.600337028503418, -6.0092315673828125]",0.8800260424613953,0.9358482360839844,0.9070791006088257
"Where can you access the logs of your Endpoints in Hugging Face Endpoints?
","In the ""Logs"" tab of your Endpoint through the UI.","You can access the logs of your Endpoints in Hugging Face Endpoints through the UI in the “Logs” tab of your Endpoint. The Container Logs are available when your Endpoint is in the “Running” state, and you can also check the Build Logs if your Endpoint creation is in the “Failed” state to determine the reason.","['Access and read Logs\n\nHugging Face Endpoints provides access to the logs of your Endpoints through the UI in the “Logs” tab of your Endpoint. \n\nYou will have access to the build logs of your Image artifacts as well as access to the Container Logs during inference.\n\n<img src=""https://raw.githubusercontent.com/huggingface/hf-endpoints-documentation/main/assets/9_selection.png"" alt=""select logs"" />\n\nThe Container Logs are only available when your Endpoint is in the “Running” state. \n\n_Note: If your Endpoint creation is in the “Failed” state, you can check the Build Logs to see what the reason was, e.g. wrong version of a dependency, etc._\n\n**Build Logs:**\n\n<img src=""https://raw.githubusercontent.com/huggingface/hf-endpoints-documentation/main/assets/9_build_logs.png"" alt=""build logs"" />', '**Build Logs:**\n\n<img src=""https://raw.githubusercontent.com/huggingface/hf-endpoints-documentation/main/assets/9_build_logs.png"" alt=""build logs"" />\n\n**Container Logs:**\n\n<img src=""https://raw.githubusercontent.com/huggingface/hf-endpoints-documentation/main/assets/9_logs.png"" alt=""container logs"" />', '### Common\n\nSee [../../libs/libcommon/README.md](../../libs/libcommon/README.md) for more information about the common configuration.\n\n## Endpoints\n\nSee https://huggingface.co/docs/datasets-server\n\n- /healthcheck: Ensure the app is running\n- /metrics: Return a list of metrics in the Prometheus format\n- /webhook: Add, update or remove a dataset\n- /is-valid: Tell if a dataset is [valid](https://huggingface.co/docs/datasets-server/valid)\n- /splits: List the [splits](https://huggingface.co/docs/datasets-server/splits) names for a dataset\n- /first-rows: Extract the [first rows](https://huggingface.co/docs/datasets-server/first_rows) for a dataset split\n- /parquet: List the [parquet files](https://huggingface.co/docs/datasets-server/parquet) auto-converted for a dataset', 'Datasets server API\n\n> API on 🤗 datasets\n\n## Configuration\n\nThe service can be configured using environment variables. They are grouped by scope.\n\n### API service\n\nSee [../../libs/libapi/README.md](../../libs/libapi/README.md) for more information about the API configuration.\n\n### Common\n\nSee [../../libs/libcommon/README.md](../../libs/libcommon/README.md) for more information about the common configuration.\n\n## Endpoints\n\nSee https://huggingface.co/docs/datasets-server', '!--Copyright 2023 The HuggingFace Team. All rights reserved.\n\nLicensed under the Apache License, Version 2.0 (the ""License""); you may not use this file except in compliance with\nthe License. You may obtain a copy of the License at\n\nhttp://www.apache.org/licenses/LICENSE-2.0\n\nUnless required by applicable law or agreed to in writing, software distributed under the License is distributed on\nan ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the\nspecific language governing permissions and limitations under the License.\n-->\n\n# Overview']","[7.704747200012207, 1.164287805557251, -0.9097878336906433, -2.070384979248047, -3.1253437995910645]",0.8638705611228943,0.9279212951660156,0.8947511315345764
"What is the latest task added to Hugging Face AutoTrain for Computer Vision?
",Image Classification,The latest task added to Hugging Face AutoTrain for Computer Vision is Image Classification.,"[""[Hugging Face AutoTrain](https://huggingface.co/autotrain) lets you train models with **zero** configuration needed. Just choose your task (translation? how about question answering?), upload your data, and let Hugging Face do the rest of the work! By letting AutoTrain experiment with number of different models, there's even a good chance that you'll end up with a model that performs better than a model that's been hand-trained by an engineer 🤯 We’ve been expanding the number of tasks that we support, and we’re proud to announce that **you can now use AutoTrain for Computer Vision**! Image Classification is the latest task we’ve added, with more on the way. But what does this mean for you?"", 'Welcome to the Hugging Face tasks series. In this video, we will take a look at the Question Answering task.\nQuestion answering is the task of extracting an answer in a given document.\nQuestion answering models take a context, which is the document you want to search in, and a question and return an answer. Note that the answer is not generated, but extracted from the context. This type of question answering is called extractive.\nThe task is evaluated on two metrics, exact match and F1-Score.\nAs the name implies, exact match looks for an exact match between the predicted answer and the correct answer.', '## How can you train your own image classifier?\n\nIf you haven’t [created a Hugging Face account](https://huggingface.co/join) yet, now’s the time! Following that, make your way over to the [AutoTrain homepage](https://huggingface.co/autotrain) and click on “Create new project” to get started. You’ll be asked to fill in some basic info about your project. In the screenshot below you’ll see that I created a project named `butterflies-classification`, and I chose the “Image Classification” task. I’ve also chosen the “Automatic” model option, since I want to let AutoTrain do the work of finding the best model architectures for my project.', '```\n\n## Supported Tasks and Custom Models\n\nThe Hugging Face Unity API also currently supports the following tasks:\n\n- [Conversation](https://huggingface.co/tasks/conversational)\n- [Text Generation](https://huggingface.co/tasks/text-generation)\n- [Text to Image](https://huggingface.co/tasks/text-to-image)\n- [Text Classification](https://huggingface.co/tasks/text-classification)\n- [Question Answering](https://huggingface.co/tasks/question-answering)\n- [Translation](https://huggingface.co/tasks/translation)\n- [Summarization](https://huggingface.co/tasks/summarization)\n- [Speech Recognition](https://huggingface.co/tasks/automatic-speech-recognition)\n\nUse the corresponding methods provided by the `HuggingFaceAPI` class to perform these tasks.', '!--Copyright 2023 The HuggingFace Team. All rights reserved.\n\nLicensed under the Apache License, Version 2.0 (the ""License""); you may not use this file except in compliance with\nthe License. You may obtain a copy of the License at\n\nhttp://www.apache.org/licenses/LICENSE-2.0\n\nUnless required by applicable law or agreed to in writing, software distributed under the License is distributed on\nan ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the\nspecific language governing permissions and limitations under the License.\n-->\n\n# OpenVINO']","[6.7532758712768555, 0.7315505743026733, 0.43546175956726074, -0.5282979011535645, -4.184412002563477]",0.8157225847244263,0.8782259821891785,0.8458212018013
